X,Y,esis_name,objectid,sch_code,sch_name,address,city,zip,phone,fax,principal,grade_from,grade_to,sch_type,website,complex,complex_area,district,island,charter
602944.0329,2357367.8266,Campbell High School,15,252,Campbell High,91-980 North Road,Ewa Beach,96706,808.689.1200,808.689.1242,Jonhenry Sau Chen Lee,9,12,High,http://www.campbellhigh.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
624904.7355,2367410.6766,Castle High School,16,301,Castle High,45-386 Kaneohe Bay Drive,Kaneohe,96744,808.233.5600,808.233.5623,Bernadette L S Tyrell,9,12,High,http://www.castlehs.k12.hi.us/,Castle,Castle-Kahuku,Windward,Oahu,0
618562.7098,2356967.1088,Central Middle School,17,104,Keelikolani Middle,1302 Queen Emma Street,Honolulu,96813,808.587.4400,808.587.4409,Anne Marie Lynn Murphy,6,8,Middle,https://www.keelikolanimiddle.org/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
907429.001,2184028.1755,DeSilva Elem School,18,351,DeSilva Elementary,278 Ainako Avenue,Hilo,96720,808.974.4855,808.974.4858,Dennis R O'Brien,K,6,Elementary,http://www.desilva.k12.hi.us/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
616993.8972,2360574.2558,Dole Middle School,19,105,Dole Middle,1803 Kamehameha IV Road,Honolulu,96819,808.832.3340,808.832.3349,Mavis Sachiko Tasaka,6,8,Middle,http://dolemiddleschool.weebly.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
439693.7475,2422906.7577,Eleele Elem School,20,451,Eleele Elementary,4750 Uliuli Road,Eleele,96705,808.335.2111,808.335.8415,Paul John Zina,K,5,Elementary,http://www.eleeleschool.k12.hi.us/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,0
631499.7175,2365182.2836,Enchanted Lake Elem School,21,302,Enchanted Lake Elementary,770 Keolu Drive,Kailua,96734,808.266.7800,808.266.7804,Pua'ala McElhaney,K,6,Elementary,http://elake.k12.hi.us,Kailua,Kailua-Kalaheo,Windward,Oahu,0
602222.6624,2357332.4604,Ewa Beach Elem School,22,254,Ewa Beach Elementary,91-740 Papipi Road,Ewa Beach,96706,808.689.1271,808.689.1275,Sherry Lee Kobayashi,K,6,Elementary,http://www.ewabeachelementary.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
600232.1483,2360645.6089,Ewa Elem School,23,253,Ewa Elementary,91-1280 Renton Road,Ewa Beach,96706,808.681.8202,808.681.8206,Stanley  Jr Tamashiro,K,6,Elementary,http://ewael.k12.hi.us/Ewa_Elementary/Welcome.html,Campbell,Campbell-Kapolei,Leeward,Oahu,0
601032.8092,2358171.1487,Ewa Makai Middle School,24,296,Ewa Makai Middle,91-6291 Kapolei Parkway,Kapolei,96706,808.687.9500,808.685.2052,Kim M Sanders,6,8,Middle,http://www.ewamakai.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
616813.1521,2359092.164,Farrington High School,25,106,Farrington High,1564 North King Street,Honolulu,96817,808.832.3600,808.832.3587,Alfredo B Carganilla,9,12,High,http://farringtonhighschool.org,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
615919.7497,2360085.9821,Fern Elem School,26,107,Fern Elementary,1121 Middle Street,Honolulu,96819,808.832.3040,808.832.3043,Fred T Yoshinaga,K,5,Elementary,http://fernschool.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
909661.5633,2187939.2464,Haaheo Elem School,27,352,Haaheo Elementary,121 Haaheo Road,Hilo,96720,808.974.4111,808.974.4112,Jennifer Naomi Sueoka,K,6,Elementary,http://www.haaheo.org/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
633966.1381,2355515.0587,Hahaione Elem School,28,108,Hahaione Elementary,595 Pepeekeo Street,Honolulu,96825,808.397.5822,808.397.5827,Shannon C Goo,K,5,Elementary,http://www.hahaionees.org/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
778478.1801,2316527.359,Haiku Elem School,29,401,Haiku Elementary,105 Pauwela Road,Haiku,96708,808.575.3000,808.575.3003,Desiree Sumiko Nani Sides,K,5,Elementary,https://sites.google.com/site/haikuelementary/,Kekaulike,Baldwin-Kekaulike-Maui,Maui,Maui,0
591795.2206,2387119.1502,Haleiwa Elem School,30,206,Haleiwa Elementary,66-505 Haleiwa Road,Haleiwa,96712,808.637.8237,808.637.8240,Malaea Frances Powell Wetzel,K,6,Elementary,http://www.haleiwa.k12.hi.us,Waialua,Leilehua-Mililani-Waialua,Central,Oahu,0
812305.4928,2300216.0306,Hana High & Elem School,31,402,Hana High and Elementary,4111 Hana Highway,Hana,96713,808.248.4815,808.248.4819,Richard Ward Paul,K,12,Elementary-Middle-High,http://www.hanak12school.org/,Hana,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,0
448252.6647,2455160.1122,Hanalei Elem School,32,452,Hanalei Elementary,5-5415 Kuhio Highway,Hanalei,96714,808.826.4300,808.826.4302,Taharaa Maree Stein,K,6,Elementary,http://www.hanalei.k12.hi.us/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,0
613033.3948,2389768.9688,Hauula Elem School,33,303,Hauula Elementary,54-046 Kamehameha Highway,Hauula,96717,808.293.8925,808.293.8927,Uilani K Kaitoku,K,6,Elementary,https://www.facebook.com/hauulaelementary/,Kahuku,Castle-Kahuku,Windward,Oahu,0
623035.7246,2352857.4294,HI School for the Deaf & Blind,34,470,Hawai`i School for the Deaf and the Blind,3440 Leahi Avenue,Honolulu,96815,808.733.4999,808.733.4824,Angel Manuel Ramos,K,12,Elementary-Middle-High,http://www.hsdb.k12.hi.us/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
623422.9716,2369006.9176,Heeia Elem School,35,304,Heeia Elementary,46-202 Haiku Road,Kaneohe,96744,808.233.5677,808.233.5679,Alma M Souki,K,6,Elementary,http://heeiahawks.weebly.com/,Castle,Castle-Kahuku,Windward,Oahu,0
601147.4158,2379299.3405,Helemano Elem School,36,208,Helemano Elementary,1001 Ihi Ihi Avenue,Wahiawa,96786,808.622.6336,808.622.6368,Ernest C Muh,K,5,Elementary,http://www.helemano.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0
607610.2129,2360496.0822,Hickam Elem School,37,209,Hickam Elementary,Manzelman Circle,Honolulu,96818,808.421.4148,808.421.4157,Alisa Ann Estrella Bender,K,6,Elementary,http://www.hickam.k12.hi.us/,Radford,Aiea Moanalua-Radford,Central,Oahu,0
607585.8286,2366802.0831,Highlands Inter School,38,255,Highlands Intermediate,1460 Hoolaulea Street,Pearl City,96782,808.453.6480,808.453.6484,Amy E Martinson,7,8,Middle,http://www.highlands.k12.hi.us/,Pearl City,Pearl City-Waipahu,Leeward,Oahu,0
909348.1907,2185521.504,Hilo High School,39,355,Hilo High,556 Waianuenue Avenue,Hilo,96720,808.313-5500,808.974.4036,Robert R Dircks,9,12,High,http://www.hilohs.k12.hi.us,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
909416.1807,2185328.8907,Hilo Inter School,40,356,Hilo Intermediate,587 Waianuenue Avenue,Hilo,96720,808.974.4955,808.974.6184,Heather Leigh Dansdill,7,8,Middle,http://www.edline.net/pages/Hilo_Intermediate_School,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
909892.2903,2185539.1894,Hilo Union Elem School,41,357,Hilo Union Elementary,506 Waianuenue Avenue,Hilo,96720,808.933.0900,808.933.0905,Bryan Kekoa Arbles,K,6,Elementary,http://hilounion.weebly.com/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
623086.0445,2354794.464,Hokulani Elem School,42,109,Hokulani Elementary,2940 Kamakini Street,Honolulu,96816,808.733.4789,808.733.4792,Laurie L Q Luczak,K,5,Elementary,http://www.hokulani-elementary.com/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
601504.6863,2359990.8955,Holomua Elem School,43,280,Holomua Elementary,91-1561 Keaunui Drive,Ewa Beach,96706,808.685.2000,808.685.2003,Gary Tsutomu Yasui,K,6,Elementary,http://holomuael.blogspot.com/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
820020.2349,2171976.2561,Holualoa Elem School,44,358,Holualoa Elementary,76-5957 Mamalahoa Highway,Holualoa,96725,808.322.4800,808.322.4801,Glenn Edward II Gray,K,5,Elementary,http://holualoahawks.org/wp/,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
827647.9145,2153673.2474,Honaunau Elem School,45,359,Honaunau Elementary,83-5360 Mamalahoa Highway,Captain Cook,96704,808.328.2727,808.328.2729,Noreen Hatsuko Kunitomo,K,5,Elementary,http://honaunauelementaryschool.weebly.com,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
869726.2156,2223735.6002,Honokaa Elem School,46,361,Honokaa Elementary,45-534 Pakalana Street,Honokaa,96727,808.775.8820,808.775.8828,Rory John Souza,K,6,Elementary,http://www.honokaael.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
870042.8083,2223915.4044,Honokaa High & Inter School,47,360,Honokaa High and Intermediate,45-527 Pakalana Street,Honokaa,96727,808.775.8800,808.775.8803,Rachelle Matsumura,7,12,Intermediate-High,http://www.honokaa.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
600916.3165,2364982.6591,Honowai Elem School,48,276,Honowai Elementary,94-600 Honowai Street,Waipahu,96797,808.675.0165,808.675.0167,Kent R Matsumura,K,6,Elementary,http://honowai.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0
596348.2223,2358605.2451,Hookele Elem School,49,293,Hookele Elementary,511 Kunehi Street,Kapolei,96707,808.305.8500, ,Laureen Michiko Dunn,K,5,Elementary,http://hookele.hidoe.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,0
827947.5392,2146609.5003,Hookena Elem School,50,363,Hookena Elementary,86-4355 Mamalahoa Highway,Captain Cook,96704,808.328.2710,808.328.2712,Nancy Louise Jadallah,K,5,Elementary,http://www.hookena.k12.hi.us,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
759954.7205,2311439.3057,Iao Inter School,51,404,Iao Intermediate,260 South Market Street,Wailuku,96793,808.984.5610,808.984.5617,Matthew Joseph Ernest Dillon,6,8,Middle,http://iao.k12.hi.us/,Baldwin,Baldwin-Kekaulike-Maui,Maui,Maui,0
603615.5701,2378538.7711,Iliahi Elem School,52,210,Iliahi Elementary,2035 California Avenue,Wahiawa,96786,808.622.6411,808.622.6413,Garett Y Yukumoto,K,5,Elementary,http://www.iliahiel.k12.hi.us,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0
602510.5578,2357301.6261,Ilima Inter School,53,279,Ilima Intermediate,91-884 Fort Weaver Road,Ewa Beach,96706,808.689.1250,808.689.1258,Christopher D Bonilla,7,8,Middle,http://ilimaintermediate.com/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
597822.2922,2377706.2576,Inouye Elem School,54,207,Inouye Elementary,1 Ayres Avenue,Wahiawa,96786,808.305.3400,808.622.6382,Jan W A Iwase,K,5,Elementary,https://www.dkies.org,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0
605628.9797,2357796.1838,Iroquois Point Elem School,55,256,Iroquois Point Elementary,5553 Cormorant Avenue,Ewa Beach,96706,808.499.6500,808.499.6508,Ofelia Acosta Reed,K,6,Elementary,http://iroquois.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
624668.263,2355547.8226,Jarrett Middle School,56,110,Jarrett Middle,1903 Palolo Avenue,Honolulu,96816,808.733.4888,808.733.4894,Reid Masaichi Kuba,6,8,Middle,http://www.jmshi.org,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
622486.2424,2352728.9244,Jefferson Elem School,57,111,Jefferson Elementary,324 Kapahulu Avenue,Honolulu,96815,808.971.6922,808.971.6933,Garret S Zakahi,K,5,Elementary,http://jeffersonsurfers.k12.hi.us/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
619442.1926,2383178.9997,Kaaawa Elem School,58,305,Kaaawa Elementary,51-296 Kamehameha Highway,Kaaawa,96730,808.237.7751,808.237.7755,Jennifer L Luke Payne,K,6,Elementary,http://kaaawa.k12.hi.us/,Kahuku,Castle-Kahuku,Windward,Oahu,0
619910.9532,2356104.74,Kaahumanu Elem School,59,112,Kaahumanu Elementary,1141 Kinau Street,Honolulu,96814,808.587.4414,808.587.4415,Cindy Chong Hye Yun-Kim,K,5,Elementary,http://www.qkes.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
599828.8838,2377052.8032,Kaala Elem School,60,211,Kaala Elementary,130 California Avenue,Wahiawa,96786,808.622.6366,808.622.6368,Samuel E Bennett,K,5,Elementary,http://www.kaala.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0
630518.8514,2364902.1407,Kaelepulu Elem School,61,330,Kaelepulu Elementary,530 Keolu Drive,Kailua,96734,808.266.7811,808.266.7813,Thomas Franklin Swan,K,6,Elementary,http://www.kaelepululadybugs.k12.hi.us/,Kailua,Kailua-Kalaheo,Windward,Oahu,0
617219.3676,2360805.019,Kaewai Elem School,62,113,Kaewai Elementary,1929 Kamehameha IV Road,Honolulu,96819,808.832.3500,808.832.3509,Bert Chris Carter,K,5,Elementary,http://www.kaewaielementary.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
817084.4735,2171504.3822,Kahakai Elem School,63,371,Kahakai Elementary,76-147 Royal Poinciana Drive,Kailua-Kona,96740,808.313.6200,808.327.4333,James Alvin Denight,K,5,Elementary,http://kahakai.me/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0
626017.3032,2352945.5042,Kahala Elem School,64,114,Kahala Elementary,4559 Kilauea Avenue,Honolulu,96816,808.733.8455,808.733.4669,Christine Kinau Gardner,K,5,Elementary,http://kahalaelementary.org,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
619689.7183,2373255.9552,Kahaluu Elem School,65,306,Kahaluu Elementary,47-280 Waihee Road,Kaneohe,96744,808.239.3101,808.239.3102,Gary H Harada,K,6,Elementary,https://sites.google.com/a/kahaluu.k12.hi.us/kahaluu-elementary-school/home,Castle,Castle-Kahuku,Windward,Oahu,0
608451.6722,2397199.8956,Kahuku Elem School,66,331,Kahuku Elementary,56-170 Pualalea Street,Kahuku,96731,808.293.8980,808.293.8985,Samuel Koji Izumi,K,6,Elementary,http://www.kahukuelementary.com/,Kahuku,Castle-Kahuku,Windward,Oahu,0
608937.3692,2397355.0566,Kahuku High & Inter School,67,307,Kahuku High and Intermediate,56-490 Kamehameha Highway,Kahuku,96731,808.293.8950,808.293.8960,Donna Rea P Lindsey,7,12,Intermediate-High,http://www.kahukuhigh.org/,Kahuku,Castle-Kahuku,Windward,Oahu,0
763217.9592,2310825.6936,Kahului Elem School,68,405,Kahului Elementary,410 South Hina Avenue,Kahului,96732,808.873.3055,808.873.3089,Lisa Gaye McClintock,K,5,Elementary,http://kahuluischool.k12.hi.us/,Maui,Baldwin-Kekaulike-Maui,Maui,Maui,0
630437.1414,2366457.8465,Kailua Elem School,69,308,Kailua Elementary,315 Kuulei Road,Kailua,96734,808.266.7878,808.266.7882,James Salem Rippard,K,6,Elementary,http://kailuaonline.net,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0
629704.0807,2365196.7301,Kailua High School,70,309,Kailua High,451 Ulumanu Drive,Kailua,96734,808.266.7900,808.266.7915,Francine W Honda,9,12,High,http://kailuahs.wix.com/kailuahigh,Kailua,Kailua-Kalaheo,Windward,Oahu,0
631029.8574,2366415.4086,Kailua Inter School,71,310,Kailua Intermediate,145 South Kainalu Drive,Kailua,96734,808.263.1500,808.266.7984,Lisa Anne Delong,7,8,Middle,http://kailuain.k12.hi.us/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0
602830.263,2357849.5053,Kaimiloa Elem School,72,281,Kaimiloa Elementary,91-1028 Kaunolu Street,Ewa Beach,96706,808.689.1280,808.689.1284,Debra L Hatada,K,6,Elementary,http://www.kaimiloa.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,0
622835.4159,2354466.4061,Kaimuki High School,73,115,Kaimuki High,2705 Kaimuki Avenue,Honolulu,96816,808.733.4900,808.733.4929,Wade R Araki,9,12,High,http://www.kaimukihs.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
624744.0843,2352515.6514,Kaimuki Middle School,74,116,Kaimuki Middle,631 18th Avenue,Honolulu,96816,808.733.4800,808.733.4810,Frank K Fernandes,6,8,Middle,http://www.kaimukimiddle.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
629766.2057,2368477.093,Kainalu Elem School,75,311,Kainalu Elementary,165 Kaiholu Street,Kailua,96734,808.266.7835,808.266.7837,Sheri L K Sunabe,K,6,Elementary,http://www.kainaluonline.net/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0
635103.3912,2354366.9415,Kaiser High School,76,154,Kaiser High,511 Lunalilo Home Road,Honolulu,96825,808.394.1200,808.394.1201,Justin Sung Nam Mew,9,12,High,http://www.kaiserhighschoolhawaii.org,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
617509.8948,2358141.8746,Kaiulani Elem School,77,117,Kaiulani Elementary,783 North King Street,Honolulu,96817,808.832.3160,808.832.3164,Jill H Puletasi,K,5,Elementary,http://www.kaiulani.k12.hi.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
446093.5613,2424386.1583,Kalaheo Elem School,78,453,Kalaheo Elementary,4400 Maka Road,Kalaheo,96741,808.332.6801,808.332.6804,Erik Dennis Burkman,K,5,Elementary,http://www.kalaheoschool.com/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,0
628743.8812,2367809.3683,Kalaheo High School,79,312,Kalaheo High,730 Iliaina Street,Kailua,96734,808.254.7900,808.254.7907,Susan C W Hummel,9,12,High,http://www.kalaheohigh.org/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0
616469.8678,2359036.1681,Kalakaua Middle School,80,118,Kalakaua Middle,821 Kalihi Street,Honolulu,96819,808.832.3130,808.832.3140,Brian T Fukuda,6,8,Middle,http://www.kalakauamiddle.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
778760.7116,2307824.2516,Kalama Inter School,81,420,Kalama Intermediate,120 Makani Road,Makawao,96768,808.573.8735,808.573.8748,Timothy A Shim,6,8,Middle,http://kalamaintermediate.com/,Kekaulike,Baldwin-Kekaulike-Maui,Maui,Maui,0
627210.9217,2353333.6146,Kalani High School,82,119,Kalani High,4680 Kalanianaole Highway,Honolulu,96821,808.377.7744,808.377.2483,Mitchell H Otani,9,12,High,http://www.kalanihighschool.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
909296.1729,2192986.6934,Kalanianaole Elem & Inter,83,365,Kalanianaole Elementary and Intermediate,27-330 Old Mamalahoa Highway,Papaikou,96781,808.964.9700,808.964.9703,David Lawrence Dinkel,K,8,Elementary-Middle,http://kalanianaole.k12.hi.us,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0
600840.6434,2365865.4439,Kaleiopuu Elem School,84,287,Kaleiopuu Elementary,94-665 Kaaholo Street,Waipahu,96797,808.675.0266,808.675.0269,Pat Y Anbe,K,6,Elementary,http://www.kaleiopuuel.com/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0
618147.0386,2361558.3549,Kalihi Elem School,85,120,Kalihi Elementary,2471 Kula Kolea Drive,Honolulu,96819,808.832.3177,808.832.3179,William George II Grindell,K,5,Elementary,http://kalihi.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
616412.2536,2358656.0436,Kalihi-Kai Elem School,86,121,Kalihi Kai Elementary,626 McNeil Street,Honolulu,96817,808.832.3322,808.832.3327,Laura Akemi Vines,K,5,Elementary,http://kalihikai.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
618001.292,2360824.3303,Kalihi-Uka Elem School,87,122,Kalihi Uka Elementary,2411 Kalihi Street,Honolulu,96819,808.305.6200,808.832.3313,Laura L Ahn,K,5,Elementary,http://www.kalihiuka.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
616603.5012,2359706.105,Kalihi-Waena Elem School,88,123,Kalihi Waena Elementary,1240 Gulick Avenue,Honolulu,96819,808.832.3210,808.832.3213,Veronica Helen Victor,K,5,Elementary,http://www.kwes.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
459985.6952,2429279.4022,Kamakahelei Middle School,89,448,Kamakahelei Middle,4431 Nuhou St.,Lihue,96766,808.241.3200,808.241.3210,Debra K Badua,6,8,Middle,http://www.ckms.k12.hi.us,Kauai,Kapaa-Kauai-Waimea,Kauai,Kauai,0
766708.7338,2293427.8765,Kamalii Elem School,90,431,Kamalii Elementary,180 Kealii Alanui,Kihei,96753,808.875.6840,808.875.6843,Cynthia Rothdeutsch,K,5,Elementary,https://kamaliischool.org/,Maui,Baldwin-Kekaulike-Maui,Maui,Maui,0
741694.6706,2309653.6641,Kamehameha III Elem School,91,406,Kamehameha III Elementary,611 Front Street,Lahaina,96761,808.662.3955,808.662.3958,Steven Dale Franz,K,5,Elementary,http://kingkam.k12.hi.us/,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,0
636298.2235,2355278.7755,Kamiloiki Elem School,92,155,Kamiloiki Elementary,7788 Hawaii Kai Drive,Honolulu,96825,808.397.5800,808.397.5806,Jason Kiyotaka Yoshimoto,K,5,Elementary,http://www.kamiloikielementary.org/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
624664.1467,2366419.0614,Kaneohe Elem School,93,313,Kaneohe Elementary,45-495 Kamehameha Highway,Kaneohe,96744,808.233.5633,808.233.9185,Derek Kiyoshi Minakami,K,6,Elementary,http://www.kaneohe.hidoe.us/,Castle,Castle-Kahuku,Windward,Oahu,0
603750.3755,2368500.6136,Kanoelani Elem School,94,283,Kanoelani Elementary,94-1091 Oli Loop,Waipahu,96797,808.675.0195,808.675.0135,Stacie S G Kunihisa,K,6,Elementary,http://www.kanoelani.k12.hi.us,Pearl City,Pearl City-Waipahu,Leeward,Oahu,0
467620.794,2442713.3637,Kapaa Elem School,95,454,Kapaa Elementary,4886 Kawaihau Road,Kapaa,96746,808.821.4424,808.821.4431,Jason W Kuloloia,K,5,Elementary,http://www.kapaaes.k12.hi.us/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,0
467705.213,2443028.4949,Kapaa High School,96,455,Kapaa High,4695 Mailihuna Road,Kapaa,96746,808.821.4400,808.821.4420,Daniel S Hamada,9,12,High,http://kapaahighschool.net/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,0
466190.0009,2441645.0667,Kapaa Middle School,97,447,Kapaa Middle,4867 Olohena Road,Kapaa,96746,808.821.4460,808.821.6967,Nathan Earl Aiwohi,6,8,Middle,http://www.kapaamiddleschool.org/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,0
617305.1246,2359670.1012,Kapalama Elem School,98,124,Kapalama Elementary,1601 North School Street,Honolulu,96817,808.832.3290,808.832.3302,Patricia M Dang,K,5,Elementary,https://sites.google.com/site/kapalamaweb1,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
